,SCHOOL,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch
19,PS 188 THE ISLAND SCHOOL,K-8 School, 79.05 ,A,81.07,0.439,0.477,0.944,8.25,Proficient,259,9.1,80.7
20,THE EAST VILLAGE COMMUNITY SCHOOL,Elementary School, 38.65 ,A,66,0.517,0.285,0.876,1.5,Undeveloped,314,13.0,26.1
21,TOMPKINS SQUARE MS EXTENSION,Middle School, 3.38 ,A,71.22,0.847,0.651,0.6,6,Well-Developed,376,12.9,69.1
22,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,High School, 2.73 ,B,48.83,0.493,0.747,0.346,0,Proficient,472,17.2,88.8
23,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,Middle School, 3.01 ,C,48.93,0.421,0.462,0.468,3,Proficient,201,9.1,88.1
24,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,High School, 2.24 ,F,24.53,0.462,-0.025,0.279,3,Proficient,170,10.3,88.8
25,ART AND DESIGN HIGH SCHOOL,High School, 2.86 ,B,51.98,0.313,0.473,0.438,9,Proficient,"1,445",16.4,63.2
26,BALLET TECH / NYC PUBLIC SCHOOL FOR DANCE,Elementary School, 45.98 ,A,64.3,0.66,0.793,0.556,0,Proficient,139,15.4,56.1
27,BARUCH COLLEGE CAMPUS HIGH SCHOOL,High School, 3.52 ,A,81.2,0.741,1.015,0.721,0,Proficient,459,15.8,42
28,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,High School, 2.51 ,F,20.88,0.146,0.131,0.268,0,Undeveloped,432,14.4,88.2
29,EAST SIDE MIDDLE SCHOOL,Middle School, 3.92 ,A,68.97,0.791,0.922,0.522,0.75,Well-Developed,449,14.9,11.1
30,ELEANOR ROOSEVELT HIGH SCHOOL,High School, 3.52 ,A,86.41,0.863,1.049,0.763,0,Proficient,538,17.4,21.9
31,ELLA BAKER SCHOOL,K-8 School, 50.95 ,B,59.69,0.846,0.246,0.693,1.5,Proficient,321,15.2,33.6
32,HARVEY MILK HIGH SCHOOL,Transfer School, NA ,B,54.04,0.731,0.443,0.528,0.75,Proficient,62,6.1,90.3
33,HIGH SCHOOL FOR DUAL LANGUAGE & ASIAN STUDIES,High School, 3.40 ,A,70.66,0.624,0.499,0.788,3,Well-Developed,396,16.4,88.1
34,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,High School, 2.90 ,B,63.04,0.469,0.594,0.667,1.5,Well-Developed,"1,201",17.4,81.1
35,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,High School, 2.96 ,C,44.76,0.326,0.467,0.443,1.5,Proficient,"1,817",19.1,73.4
36,HIGH SCHOOL FOR LEADERSHIP AND PUBLIC SERVICE,High School, 2.73 ,F,27.79,0.269,0.361,0.235,0,Proficient,744,18.1,81
37,HIGH SCHOOL OF ECONOMICS AND FINANCE,High School, 2.99 ,B,50.61,0.361,0.604,0.411,4.5,Well-Developed,233,13.6,82
38,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,High School, 2.41 ,C,35.33,0.239,0.244,0.417,1.5,Proficient,302,17.7,91.7
39,Humanities Preparatory Academy,Transfer School, NA ,A,62.28,0.386,1.061,0.448,0,Proficient,491,19.6,25.5
40,INDEPENDENCE HIGH SCHOOL,Transfer School, NA ,C,41.86,0.527,0.539,0.296,1.5,Proficient,283,15.7,50.5
41,INSTITUTE FOR COLLABORATIVE EDUCATION,Middle School, 3.63 ,B,52.47,0.752,0.397,0.505,1.5,Well-Developed,"1,139",16.5,44.4
42,IS 289,Middle School, 3.71 ,D,35.05,0.604,0.664,0.11,0,Proficient,"1,335",15.8,30.8
43,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,High School, 2.74 ,C,38.07,0.254,0.516,0.342,0,Proficient,564,15.2,79.8
44,JHS 104 SIMON BARUCH,Middle School, 3.55 ,B,53.42,0.434,0.611,0.451,3.75,Proficient,349,13.9,87.7
45,JHS 167 ROBERT F WAGNER,Middle School, 3.58 ,C,49.83,0.44,0.555,0.429,3,Well-Developed,521,14.8,81.8
