,School Name,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch,DISTRICT
113,Urban Assembly Academy Of Government And Law,311,14.1,85.2%,2
114,Lower Manhattan Arts Academy,329,13.1,75.1%,2
115,James Baldwin School-A School For Expeditionary Lrning,239,12.5,81.2%,2
116,Nyc Ischool,458,14.7,39.7%,2
117,Gramercy Arts High School,493,14.9,82.2%,2
118,High School For Language And Diplomacy (The),328,13.1,78.7%,2
119,Manhattan Business Academy,422,15.0,91%,2
120,Quest To Learn,579,12.3,67.4%,2
121,Business Of Sports School,432,11.8,73.4%,2
122,Spruce Street School,539,14.1,13.4%,2
123,Battery Park City School,822,13.4,12.7%,2
124,Yorkville Community School,513,12.5,41.9%,2
125,Emma Lazarus High School,276,14.5,95.3%,2
126,Manhattan Academy For Arts And Languages,266,12.2,95.5%,2
127,International High School At Union Square,349,12.4,82.2%,2
128,Hudson High School Of Learning Technologies,473,14.5,84.4%,2
129,Murray Hill Academy,317,12.6,83.6%,2
130,East Side Elementray School-Ps 267,397,13.6,10.3%,2
131,Urban Assembly Gateway School For Technology,444,13.4,57.7%,2
132,Ps 527 East Side School For Social Action,384,13.7,16.1%,2
133,Union Square Academy For Health Sciences,397,13.2,83.6%,2
134,Peck Slip School (The),438,12.5,9.1%,2
135,Harvest Collegiate High School,494,13.0,64.6%,2
136,Academy For Software Engineering,456,13.1,69.3%,2
137,River School (The),273,12.4,27.5%,2
138,Urban Assembly School For Emergency Management (The),279,12.1,81%,2
139,Stephen T Mather Building Arts And Craftmanship High School,401,11.1,84.5%,2
140,Yorkville East Middle School,233,11.6,34.3%,2
141,City Knoll Middle School,237,12.4,74.3%,2
142,Urban Assembly Maker Academy,389,13.8,75.1%,2
143,Manhattan Early College School For Advertising,368,12.2,80.2%,2
144,Sixth Avenue Elementary School,278,13.9,9%,2
145,Middle School 297,193,14.8,30.1%,2
146,Judith S Kaye High School,56,9.3,83.9%,2
147,Beacon High School,"1,380",22.5,25.3%,3
148,Edward A Reynolds West Side High School,408,12.4,98%,3
149,Wadleigh Perf And Visual Arts,273,8.2,81.7%,3
150,Ps 9 Sarah Anderson,618,15.8,20.9%,3
151,Junior High School 54 Booker T Washington,851,17.3,23.9%,3
152,Ps 75 Emily Dickinson,562,7.4,73.3%,3
153,Ps 76 A Phillip Randolph,454,15.6,96.5%,3
154,Ps 84 Lillian Weber,648,12.9,41%,3
155,Ps 87 William Sherman,881,13.9,11.7%,3
156,Ps 145 Bloomingdale School (The),381,10.5,80.6%,3
157,Ps 149 Sojourner Truth,303,6.3,97.5%,3
158,Ps 163 Alfred E Smith,563,13.0,48%,3
159,Ps 165 Robert E Simon,600,11.7,71.3%,3
160,Ps 166 Richard Rogers School Of The Arts & Science (The),649,15.4,20.2%,3
161,Locke School Of Arts And Engineering (The),245,11.1,84.1%,3
162,Riverside School For Makers And Artists (The),520,11.0,73.7%,3
163,Ps 199 Jessie Isador Straus,851,15.4,10.3%,3
164,Stem Institute Of Manhattan,133,8.3,91.7%,3
165,Ps 242 Young Diplomats Magnet Academy (The),171,9.5,88.3%,3
166,Middle School 243 Center School,235,15.6,12.3%,3
167,Middle School 245 Computer School (The),400,14.8,27.8%,3
168,Middle School 247 Dual Language Middle School,198,9.9,92.9%,3
169,Middle School 250 West Side Collaborative Middle School,180,10.5,71.7%,3
170,Lafayette Academy,140,8.2,85.7%,3
171,Community Action School-Middle School 258,222,10.0,76.6%,3
172,Ps 333 Manhattan School For Children,755,15.0,18%,3
173,Fiorello H Laguardia High School,"2,819",19.9,29%,3
174,High School For Law Advocacy And Community Justice,462,13.5,88.7%,3
175,High School Of Arts And Technology,504,15.7,83.9%,3
176,Manhattan/Hunter Science High School,441,17.6,61.5%,3
177,Ps 180 Hugo Newman,548,11.9,71.9%,3
178,Frederick Douglass Academy II Secondary School,355,12.2,81.1%,3
179,Mott Hall II,341,17.9,61.6%,3
180,Urban Assembly School For Media Studies,401,14.8,85.8%,3
181,Anderson School (The),539,19.2,8.3%,3
182,Maxine Greene High School For Imaginative Inquiry (The),361,11.6,82%,3
183,Special Music School,313,13.0,21.4%,3
184,West Prep Academy,201,11.8,86.1%,3
185,Innovation Diploma Plus,185,14.2,81.1%,3
186,Global Learning Collaborative (The),435,14.9,81.6%,3
187,Urban Assembly School For Green Careers (The),307,10.5,86%,3
188,Frank McCourt High School,410,15.7,55.6%,3
189,Ps 452,329,12.6,22.2%,3
190,West End Secondary School,339,13.5,18.9%,3
191,Park East High School,400,13.3,84.5%,4
192,Central Park East High School,493,17.0,83.2%,4
193,Ps 7 Samuel Stern,356,11.4,91%,4
194,Ps 38 Roberto Clemente,217,12.7,92.6%,4
195,James Weldon Johnson School,803,12.3,88.8%,4
196,Lexington Academy (The),615,11.3,91.1%,4
197,Bilingual Bicultural School (The),312,11.1,97.4%,4
198,Ps 96 Joseph Lanzetta,398,11.0,93.5%,4
199,Ps 102 Jacques Cartier,314,10.4,81.5%,4
200,Ps 108 Assemblyman Angelo Del Toro Educational Complex,448,10.9,89.3%,4
201,Ps 112 Jose Celso Barbosa,303,6.3,81.2%,4
202,Ps 146 Ann M Short,334,10.7,97.9%,4
203,Ps 155 William Paca,260,11.8,97.7%,4
204,Ps 171 Patrick Henry,722,16.0,69.3%,4
205,Ps 206 Jose Celso Barbosa,465,6.4,84.3%,4
206,Young Women's Leadership School,483,15.8,80.7%,4
207,Heritage School (The),297,14.3,92.3%,4
208,Middle School 224 Manhattan East School For Arts & Academics,174,13.3,74.1%,4
209,Manhattan Center For Science & Mathematics,"1,627",20.8,85.2%,4
210,Ps 83 Luis Munoz Rivera,433,13.9,89.4%,4
211,Tag Young Scholars,576,23.9,41%,4
212,River East Elementary,189,9.4,87.3%,4
213,Central Park East I,200,14.2,42%,4
214,Isaac Newton Middle Sschool For Math And Science,192,11.9,91.1%,4
215,Central Park East II,445,13.4,42.5%,4
216,Mosaic Preparatory Academy,328,12.1,93.9%,4
217,Esperanza Preparatory Academy,564,11.5,92.2%,4
218,Renaissance School Of The Arts,146,9.7,93.8%,4
219,Frederick Douglass Academy,"1,360",18.2,76.4%,5
220,Ps 30 Hernandez/Hughes,250,6.9,94%,5
221,Ps 36 Margaret Douglas,395,9.6,88.1%,5
222,Ps 154 Harriet Tubman,293,12.7,98.3%,5
223,Ps 46 Arthur Tappan,663,11.8,94%,5
224,Ps 123 Mahalia Jackson,477,10.6,95.4%,5
225,Ps 125 Ralph Bunche,299,14.2,67.9%,5
226,Ps 129 John H Finley,439,11.2,92.7%,5
227,Ps 133 Fred R Moore,212,9.2,93.4%,5
228,Ps 161 Pedro Albizu Campos,827,12.3,96.6%,5
229,Ps 194 Countee Cullen,231,10.9,97%,5
230,Ps 197 John B Russwurm,307,11.8,93.5%,5
231,Ps 200 James McCune Smith School (The),390,10.2,91.3%,5
232,Urban Assembly Academy For Future Leaders,167,12.8,91%,5
233,Ps 175 Henry H Garnet,319,12.2,95.9%,5
234,Thurgood Marshall Academy For Learning & Social Change,534,14.8,74.3%,5
235,High School Mathematics Science And Engineering At Ccny,500,17.0,44.4%,5
236,Ps 92 Mary McLeod Bethune,263,10.5,98.9%,5
237,Mott Hall High School,299,16.6,93%,5
238,Harlem Renaissance High School,222,13.8,87.4%,5
239,Thurgood Marshall Academy Lower School,222,13.0,86%,5
240,Urban Assembly School For The Performing Arts,362,15.0,89.8%,5
241,Columbia Secondary School,703,14.9,54.3%,5
242,Teachers College Community School,285,14.9,47%,5
243,New Design Middle School,128,8.5,91.4%,5
244,Eagle Academy For Young Men Of Harlem,320,10.3,75.9%,5
245,Urban Assembly School For Global Commerce (The),244,10.6,81.1%,5
246,Ps 5 Ellen Lurie,593,13.4,85%,6
247,Ps 18 Park Terrace,349,12.2,92.6%,6
248,Ps 48 PO Michael J Buczek,547,10.1,94.9%,6
249,Is 528 Bea Fuller Rodgers School,226,13.9,96%,6
250,Gregorio Luperon High School For Science And Mathematics,522,19.3,98.9%,6
251,Ps 4 Duke Ellington,560,13.6,84.6%,6
252,Ps 8 Luis Belliard,527,11.9,96.8%,6
253,Ps 28 Wright Brothers,668,11.9,92.8%,6
254,Ps 98 Shorac Kappock,461,11.8,90.2%,6
255,Ps 115 Alexander Humboldt,477,13.2,96.4%,6
256,Ps 128 Audubon,585,13.0,92.5%,6
257,Ps 132 Juan Pablo Duarte,303,9.4,87.1%,6
258,Junior High School 143 Eleanor Roosevelt,263,10.1,89%,6
259,Ps 152 Dyckman Valley,574,12.7,97.4%,6
260,Ps 153 Adam Clayton Powell,590,14.3,92%,6
261,Ps 173,484,13.4,89.9%,6
262,Ps/Is 187 Hudson Cliffs,794,15.5,42.7%,6
263,Ps 189,810,13.6,92.6%,6
264,Ps 192 Jacob H Schiff,442,11.9,94.1%,6
265,Ps/Is 210 21st Century Academy,421,13.1,91.7%,6
266,College Academy (The),447,17.8,97.3%,6
267,High School For Media & Communications,404,18.1,95.5%,6
268,High School For Law & Public Service,540,15.4,89.1%,6
269,High School For Health Careers & Sciences,461,12.4,96.7%,6
270,A Philip Randolph Campus High School,"1,379",17.9,85.9%,6
271,Harold O Levy School,268,11.1,97.4%,6
272,Mott Hall School (The),292,13.2,80.8%,6
273,Professor Juan Bosch Public School,296,10.5,73.6%,6
274,Paula Hedbavny School,558,16.9,67.4%,6
275,Amistad Dual Language School,391,13.9,80.6%,6
276,Muscota,292,13.2,26.4%,6
277,Middle School 319 Marie Teresa,421,14.0,98.8%,6
278,Middle School 324 Patria Mirabal,392,11.1,91.1%,6
279,Community Math And Science Prep,223,10.1,98.7%,6
280,Middle School 322,302,10.7,95%,6
281,City College Academy Of The Arts,600,15.0,83%,6
282,Harbor Heights,129,12.9,100%,6
283,Community Health Academy Of The Heights,690,14.0,93.6%,6
284,Washington Heights Expeditionary Learning School,820,12.8,76.2%,6
285,Hamilton Heights School,171,10.6,70.8%,6
286,Washington Heights Academy,575,16.9,90.3%,6
287,High School For Excellence And Innovation,194,10.2,93.8%,6
288,Castle Bridge School,228,10.8,65.8%,6
289,Dos Puentes Elementary School,350,12.2,69.7%,6
290,Inwood Early College For Health And Information Technologies,371,13.4,95.7%,6
291,Hamilton Grange Middle School,267,11.6,92.9%,6
292,University Heights Secondary School-Bronx Community College,486,20.2,87.2%,7
