,School Name,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch,DISTRICT
486,Angelo Patri Middle School (The),523,12.7,92.5%,10
487,Ps 396,336,5.8,92.9%,10
488,Is 206 Ann Mersereau,202,13.4,89.6%,10
489,Ps 159 Luis Mumoz Marin Biling,192,12.8,87%,10
490,Ps 246 Poe Center,730,13.7,93.8%,10
491,Ps 207,307,14.6,85.7%,10
492,Ps/Middle School 280 Mosholu Parkway,887,14.4,95.6%,10
493,Ps 226,475,12.8,96.4%,10
494,Ps 3 Raul Julia Micro Society,347,15.0,94.8%,10
495,Ps 59 Community School Of Technology (The),576,11.5,100%,10
496,Ps 85 Great Expectations,952,10.5,95.7%,10
497,Ps 91,730,13.0,94.2%,10
498,High School For Teaching And The Professions,424,14.1,90.3%,10
499,Belmont Preparatory High School,400,13.7,88%,10
500,Fordham High School For The Arts,357,14.2,89.6%,10
501,Fordham Leadership Academy,336,11.5,84.5%,10
502,Bronx High School For Law And Community Service,414,13.9,90.8%,10
503,Luisa Pineiro Fuentes School Of Science And Discovery,388,12.1,86.3%,10
504,Celia Cruz Bronx High School Of Music (The),426,13.3,87.6%,10
505,Discovery High School,451,12.8,89.8%,10
506,Bronx Dance Academy School,269,14.1,92.6%,10
507,West Bronx Academy For The Future,611,13.3,94.6%,10
508,Bronx School Of Young Leaders (The),409,14.5,89.2%,10
509,High School Of American Studies At Lehman College,399,15.9,21.1%,10
510,Marie Curie High School-Nursing,490,14.2,78.8%,10
511,Providing Urban Learners Success In Education High School,244,17.4,91%,10
512,Theatre Arts Production Company School,619,16.7,80.1%,10
513,Jonas Bronck Academy,268,13.4,90.7%,10
514,New School For Leadership And Journalism (The),739,14.5,97.3%,10
515,Kingsbridge International High School,468,18.0,98.7%,10
516,International School For Liberal Arts,516,12.5,99.2%,10
517,Knowledge And Power Prep Academy International High School,484,12.4,92.4%,10
518,Ampark Neighborhood,390,15.5,53.6%,10
519,School For Environmental Citizenship,597,13.2,99.5%,10
520,Elementary School For Math Science And Technology,273,13.6,97.1%,10
521,Creston Academy,459,11.4,92.2%,10
522,East Fordham Academy For The Arts,277,12.5,94.2%,10
523,Crotona International High School,329,14.9,84.2%,10
524,Academy For Personal Leadership And Excellence,552,11.5,94.2%,10
525,High School For Energy And Technology,406,13.6,82.8%,10
526,Bronx Academy For Software Engineering (Base),429,12.6,70.9%,10
527,Bronx Collaborative High School,535,14.0,84.5%,10
528,World View High School,498,12.7,81.7%,10
529,Bedford Park Elementary School,355,14.7,85.9%,10
530,English Language Learners-Inter Supp,333,13.3,94.6%,10
531,Bronx School Of Law And Finance,373,14.9,86.3%,10
532,Bronx Theatre High School,386,14.8,86%,10
533,Bronx Engineering And Technology Academy,409,14.5,91.4%,10
534,Marble Hill High School Of International Studies,439,15.6,91.3%,10
535,In-Technical Academy (Ms/High School 368),993,15.7,86.9%,10
536,Ps 178 Dr Selman Waksman,437,12.4,80.3%,11
537,Harry S Truman High School,"1,984",17.4,73%,11
538,Is 181 Pablo Casals,882,14.4,82.1%,11
539,Ps 16 Wakefield,358,13.2,97.2%,11
540,Ps 19 Judith K Weiss,511,16.4,59.5%,11
541,Ps 21 Philip H Sheridan,701,16.2,91.6%,11
542,Ps 41 Gun Hill Road,921,16.1,98.6%,11
543,Ps 68,677,11.2,69.4%,11
544,Ps 76 Bennington School (The),958,14.3,76.6%,11
545,Ps 78 Anne Hutchinson,823,14.6,84%,11
546,Ps 83 Donald Hertz,"1,692",15.8,64.6%,11
547,Ps 87,587,15.8,84.3%,11
548,Ps 89,"1,550",17.4,78%,11
549,Ps 96 Richard Rodgers,957,13.0,81.8%,11
550,Ps 97,659,13.1,79.5%,11
551,Ps 103 Hector Fontanez,"1,135",13.1,89%,11
552,Ps 105 Senator Abraham Bernstein,"1,107",13.1,90.9%,11
553,Ps 106 Parkchester,"1,093",15.8,73.9%,11
554,Ps 108 Philip J Abinanti,616,14.3,77.9%,11
555,Ps 111 Seton Falls,681,14.7,91.9%,11
556,Ps 112 Bronxwood,430,13.4,97.2%,11
557,Ps 121 Throop,920,14.5,67.6%,11
558,Junior High School 127 Castle Hill (The),809,15.8,77.8%,11
559,Junior High School 144 Michelangelo,491,12.9,76.4%,11
560,Ps 153 Helen Keller,647,14.6,65.2%,11
561,Ps 160 Walt Disney,405,11.2,71.6%,11
562,Ps 175 City Island,333,15.1,51.7%,11
563,Middle School 180 Dr Daniel Hale Williams,967,14.8,75.8%,11
564,Bronx High School For The Visual Arts,436,13.6,82.3%,11
565,Pelham Preparatory Academy,496,17.0,72.2%,11
566,High School For Contemporary Arts,446,19.3,76.9%,11
567,Ps/Middle School 194,"1,326",15.0,80.9%,11
568,Bronx Aerospace High School,343,13.1,75.2%,11
569,Bronx Health Sciences High School,318,18.7,71.4%,11
570,Bronx High School For Writing And Communication Arts,332,18.4,71.4%,11
571,Bronx Lab School,390,12.1,83.8%,11
572,High School Of Computers And Technology,563,17.5,76.9%,11
573,Collegiate Institute For Math And Science,606,16.8,70.3%,11
574,Bronx Academy Of Health Careers,392,15.6,80.1%,11
575,Astor Collegiate Academy,470,15.6,74.3%,11
576,North Bronx School Of Empowerment,562,14.7,87.2%,11
577,New World High School,396,16.5,96.7%,11
578,Bronxwood Preparatory Academy (The),392,15.6,71.2%,11
579,Academy-Scholarship & Entrepreneurship,383,15.3,80.2%,11
580,Bronx Green Middle School,395,15.1,93.7%,11
581,Leaders Of Tomorrow,400,11.7,95.3%,11
582,Cornerstone Academy For Social Action,377,12.9,88.9%,11
583,Cornerstone Academy For Social Action Middle School (Casa),267,13.6,83.9%,11
584,Pelham Academy Of Academics And Community Engagement,323,11.5,88.9%,11
585,Baychester Academy,399,15.9,85.2%,11
586,Ps/Middle School 498 Van Nest Academy,641,15.2,75.7%,11
587,High School For Language And Innovation,363,12.9,98.9%,11
588,Baychester Middle School,301,13.6,86.4%,11
589,One World Middle School At Edenwald,334,9.8,85%,11
590,Bronxdale High School,456,12.6,86.2%,11
591,Bronx Park Middle School,401,10.5,89%,11
592,Pelham Gardens Middle School,452,12.9,76.5%,11
593,Linden Tree Elementary School,399,13.2,76.4%,11
594,Bronx Alliance Middle School,335,11.5,82.1%,11
595,Young Voices Academy Of The Bronx,343,14.2,86%,11
596,Matilda Avenue School (The),124,12.3,84.7%,11
597,Stem Bridge School (The),163,12.5,87.7%,11
598,Ps 214,"1,084",15.0,87.5%,12
599,Bronx Regional High School,200,15.3,84.5%,12
600,Ps 212,441,13.7,98.2%,12
601,Fannie Lou Hamer Freedom High School,458,14.3,84.1%,12
602,Wings Academy,493,15.3,87.8%,12
603,High School Of World Cultures,432,13.9,98.1%,12
604,Ps 6 West Farms,534,11.6,98.7%,12
605,Ps 44 David C Farragut,278,11.1,95.7%,12
606,Ps 47 John Randolph,"1,072",14.0,96.8%,12
607,Ps 57 Crescent,510,11.7,88.4%,12
608,Ps 61 Francisco Oller,285,14.2,97.2%,12
609,Ps 67 Mohegan School,543,15.0,89.5%,12
610,Junior High School 98 Herman Ridder,237,13.9,95.4%,12
611,Middle School 129 Academy For Independent Learning And Leadership,513,12.8,93.8%,12
612,Ps 134 George F Bristow,649,16.0,93.7%,12
613,Ps 150 Charles James Fox,867,14.4,94.3%,12
614,Ps 211,598,13.5,92.5%,12
615,Ps 195,962,15.7,93.5%,12
616,Ps 196,935,13.1,90.2%,12
617,Bronx Little School,291,11.1,91.1%,12
618,Is 318 Math Science & Technology Through Arts,257,10.7,98.4%,12
619,Esmt-Is 190,243,12.1,90.9%,12
620,School Of Performing Arts,304,11.6,96.4%,12
621,Ps 66 School Of Higher Expectations,661,11.7,89%,12
622,East Bronx Academy For The Future,664,12.0,91.9%,12
623,Bronx Latin School,576,11.5,94.6%,12
624,Frederick Douglass Academy V Middle School,225,17.2,89.3%,12
625,Knowledge And Power Preparatory Academy III,388,16.1,91.2%,12
626,Accion Academy,152,13.8,91.4%,12
627,Explorations Academy High School,349,14.6,93.1%,12
628,Mott Hall V,684,13.3,86.3%,12
629,Fannie Lou Hamer Middle School,278,12.6,87.4%,12
630,School Of Science And Applied Learning (The),611,14.5,89.9%,12
631,Metropolitan High School (The),398,10.7,95.7%,12
632,Emolior Academy,255,12.1,91%,12
633,Pan American International High School At Monroe,470,14.6,100%,12
634,Urban Scholars Community School,263,9.0,96.6%,12
635,Cinema School (The),294,13.3,86.1%,12
636,Bronx Career And College Preparatory High School,238,11.3,89.5%,12
637,Arturo A Schomburg Satellite Academy Bronx,180,15.0,86.7%,12
638,Ps 536,430,16.5,94.2%,12
639,Archer Elementary School,502,14.3,95.8%,12
640,Bronx Envision Academy,424,14.1,88.9%,12
641,Metropolitan Soundview High School (The),426,12.1,96.5%,12
642,Fairmont Neighborhood School,318,11.7,97.5%,12
643,Samara Community School,207,12.9,95.2%,12
644,Science Skills Center High School,557,15.5,82.6%,13
645,Brooklyn International High School,354,15.0,80.8%,13
646,Brooklyn Technical High School,"5,839",23.8,62.1%,13
647,George Westinghouse Career & Technical Educational High School,748,16.2,79.9%,13
648,Ps 3 Bedford Village (The),393,16.3,92.4%,13
649,Ps 8 Robert Fulton,916,16.0,18.3%,13
650,Ps 9 Teunis G Bergen,900,15.5,41.4%,13
651,Ps 11 Purvis J Behan,893,17.8,44.9%,13
652,Ps 20 Clinton Hill,447,14.9,61.7%,13
653,Ps 44 Marcus Garvey,138,9.1,96.4%,13
654,Ps 46 Edward C Blum,280,11.6,89.6%,13
655,Ps 54 Samuel C Barnes,208,8.5,94.2%,13
656,Ps 56 Lewis H Latimer,213,11.4,75.6%,13
657,Ps 67 Charles A Dorsey,211,10.5,99.1%,13
658,Benjamin Banneker Academy,844,19.6,69.3%,13
659,Ps 93 William H Prescott,288,14.3,95.1%,13
660,Dean Street School (The),185,10.8,81.6%,13
661,Ps 133 William A Butler,781,14.2,36%,13
662,Ps 256 Benjamin Banneker,223,12.3,97.3%,13
663,Dr Susan S McKinney Secondary School Of The Arts,370,11.2,91.9%,13
664,Ps 270 Johann Dekalb,115,8.8,87%,13
665,Ps 282 Park Slope,736,13.8,54.6%,13
666,Ps 287 Bailey K Ashford,175,9.6,93.1%,13
667,Ps 305 Dr Peter Ray,137,11.4,97.1%,13
668,Ps 307 Daniel Hale Williams,365,9.3,78.4%,13
669,Middle School 266 Park Place Community Middle School,161,10.7,86.3%,13
670,Middle School 113 Ronald Edmonds Learning Center,305,12.2,92.1%,13
671,Bedford Academy High School,368,16.7,73.4%,13
672,Brooklyn Academy High School,140,11.6,83.6%,13
673,Satellite East Middle School,106,11.7,94.3%,13
674,Dock Street School For Stem Studies,200,10.5,72.5%,13
675,Urban Assembly School For Law And Justice (The),450,14.5,77.1%,13
676,Urban Assembly School For Music And Art,215,15.3,86.5%,13
677,Academy Of Arts And Letters,516,15.1,29.7%,13
678,Urban Assembly Institute Of Math And Science For Young Women,478,14.0,85.1%,13
679,Brooklyn Community Arts And Media High School (Bcam),429,15.8,88.6%,13
680,Brooklyn High School For Leadership And Community Service,179,13.7,82.1%,13
681,City Polytechnic High School,439,15.6,76.8%,13
682,Fort Green Preparatory Academy,200,10.0,90.5%,13
683,Urban Assembly Unison School (The),146,10.4,89%,13
684,El Puente Academy For Peace And Justice,239,14.0,87%,14
685,Automotive High School,404,10.9,80.4%,14
686,Ps 16 Leonard Dunkly,226,12.5,91.2%,14
687,Ps 17 Henry D Woodworth,267,8.6,70.4%,14
688,Ps 18 Edward Bush,178,10.4,88.2%,14
689,Ps 23 Carter G Woodson,289,11.5,90.3%,14
690,Ps 31 Samuel F Dupont,594,14.8,72.1%,14
691,Ps 34 Oliver H Perry,482,15.0,28.8%,14
692,Junior High School 50 John D Wells,289,11.1,89.6%,14
693,Ps 59 William Floyd,315,13.6,94.3%,14
694,Juan Morel Campos Secondary School,528,9.0,87.5%,14
695,Ps 84 Jose De Diego,795,9.9,47.3%,14
696,Ps 110 Monitor (The),522,16.3,26.4%,14
697,Ps 120 Carlos Tapia,407,14.0,86.7%,14
698,John Ericsson Middle School 126,377,11.4,85.1%,14
699,Ps 132 Conselyea School (The),724,17.2,41.2%,14
700,Ps 147 Issac Remsen,355,14.6,70.4%,14
701,Ps/Is 157 Benjamin Franklin Heath And Science Academy (The),481,12.9,87.1%,14
702,Ps 196 Ten Eyck,313,11.1,87.5%,14
703,Ps 250 George H Lindsay,484,14.2,79.1%,14
704,Ps 257 John F Hylan,621,16.7,83.1%,14
705,Ps 297 Abraham Stockton,223,11.7,92.4%,14
706,Is 318 Eugenio Maria De Hostos,"1,248",16.4,65.9%,14
707,Progress High School For Professional Careers,759,16.1,88.8%,14
708,East Williamsburg Scholars Academy,327,11.6,93.9%,14
709,High School For Enterprise Business & Technology (The),873,17.3,80.8%,14
710,Ps 380 John Wayne Elementary,582,10.9,79.6%,14
711,Ps 319,128,10.6,72.7%,14
712,Brooklyn Preparatory High School,513,14.6,87.7%,14
713,Conselyea Preparatory School,503,15.2,53.7%,14
714,Middle School 582,260,11.8,83.5%,14
715,Williamsburg High School For Architecture And Design,570,16.5,84.6%,14
716,Williamsburg Preparatory School,683,16.1,85.5%,14
717,Williamsburg High School Of Art And Technology (The),271,11.7,79.7%,14
718,Brooklyn Latin School (The),681,16.1,62.8%,14
719,Lyons Community School,494,11.2,90.1%,14
720,Young Women's Leadership School Of Brooklyn,407,14.0,77.6%,14
721,Brooklyn Arbor Elementary School,596,14.1,62.6%,14
722,Digital Arts And Cinema Technology High School,209,11.3,80.9%,15
723,Ps 1 Bergen (The),"1,298",12.5,84.3%,15
724,Magnet School Of Math Science & Design Technology,933,9.6,23.5%,15
725,Ps 15 Patrick F Daly,487,10.5,71.7%,15
726,Ps 29 John M Harrigan,922,15.1,11.7%,15
727,Ps 32 Samuel Mills Sprole,532,7.7,45.3%,15
728,Ps 38 Pacific (The),570,15.3,50.4%,15
729,Ps 39 Henry Bristow,411,15.2,11.9%,15
730,Middle School 51 William Alexander,"1,132",17.1,29.1%,15
731,Ps 58 Carroll (The),988,14.7,10.9%,15
732,Ps 295,451,12.5,43.2%,15
733,Ps 94 Henry Longfellow (The),"1,382",14.6,98.3%,15
734,Ps 107 John W Kimball,566,15.2,7.2%,15
735,Ps 124 Silas B Dutcher,345,12.4,67%,15
736,Ps 130 Parkside (The),833,14.6,40%,15
737,Ps 131,"1,004",14.1,85.9%,15
738,Windsor Terrace School (The),517,15.2,13%,15
739,Ps 169 Sunset Park,"1,508",12.6,91.4%,15
740,Ps 172 Beacon School Of Excellence,590,12.2,86.6%,15
741,Ps 230 Doris L Cohen,"1,168",14.5,71.1%,15
742,Ps 261 Philip Livingston,803,14.0,36.2%,15
743,Ps 321 William Penn,"1,417",17.7,7.2%,15
744,Ps 24,654,12.5,95.1%,15
745,Cobble Hill School Of American Studies,588,16.2,90.1%,15
746,Junior High School 88 Peter Rouget,"1,355",13.5,80.7%,15
747,Brooklyn High School Of The Arts,864,14.6,69.6%,15
748,Brooklyn New School-Ps 146 (The),686,14.5,34.5%,15
749,John Jay School For Law,451,15.5,79.4%,15
750,Boerum Hill School For International Studies (The),633,14.3,57.5%,15
751,South Brooklyn Community High School,184,14.1,89.7%,15
752,Brooklyn Collaborative Studies,675,11.2,68.6%,15
753,Math And Science Exploratory School (The),524,10.4,20.4%,15
754,New Voices School Of Academic And Creative Arts,569,16.2,30.6%,15
755,Middle School 442 Carroll Gardens School For Innovation,239,8.3,49%,15
756,Is 136 Charles O Dewey,485,11.8,97.3%,15
757,Park Slope Collegiate,660,12.9,67%,15
758,Secondary School For Journalism,217,13.5,85.7%,15
759,Sunset Park Prep,503,11.4,96.2%,15
760,West Brooklyn Community High School,228,14.2,77.6%,15
761,Khalil Gibran International Academy,260,10.4,86.9%,15
762,Sunset Park High School,"1,219",11.0,85.2%,15
763,Red Hook Neighborhood School,203,14.4,96.1%,15
764,Brooklyn Frontiers High School,146,6.9,93.2%,15
765,Millennium Brooklyn High School,667,11.3,39.6%,15
766,Maurice Sendak Community School (The),309,19.3,13.9%,15
767,Sunset Park Avenues Elementary School,429,12.8,87.6%,15
768,Middle School 839,326,12.0,42.9%,15
769,Boys And Girls High School,412,13.7,79.6%,16
770,Ps 5 Dr Ronald McNair,209,13.0,89%,16
771,Ps 21 Crispus Attucks,574,13.6,74%,16
772,Ps 25 Eubie Blake School,101,5.9,99%,16
773,Ps 26 Jesse Owens,230,11.5,80%,16
774,Middle School 35 Stephen Decatur,248,14.5,87.1%,16
775,Ps 40 George W Carver,316,15.0,87.7%,16
776,Ps 81 Thaddeus Stevens,293,10.4,90.8%,16
777,Junior High School 57 Whitelaw Reid,199,9.9,94%,16
778,Ps 243 Weeksville School (The),229,9.5,94.3%,16
779,Ps 262 El Hajj Malik El Shabazz Elementary School,183,9.1,94%,16
780,Ps 308 Clara Cardwell,272,9.0,90.4%,16
781,Ps 309 George E Wibecan Preparatory Academy (The),204,9.7,83.3%,16
782,Ps 335 Granville T Woods,242,9.6,90.1%,16
783,Middle School 267 Math Science & Technology,266,14.7,90.2%,16
784,Brooklyn High School For Law And Technology,599,17.0,86.1%,16
785,Ps 28 Warren Prep Academy (The),131,9.3,94.7%,16
786,Gotham Professional Arts Academy,169,11.4,85.8%,16
787,Brighter Choice Community School,311,14.7,84.6%,16
788,Brooklyn Brownstone School,267,16.6,69.3%,16
789,Brooklyn Academy Of Global Finance (The),122,8.1,96.7%,16
790,Madiba Prep Middle School,156,10.4,92.3%,16
791,Research And Service High School,225,14.0,90.7%,16
792,Nelson Mandela High School,272,13.5,78.7%,16
793,Norma Adams Clemons Academy,664,12.5,84.5%,17
794,Medgar Evers College Preparatory School,"1,253",21.9,70.8%,17
795,Parkside Preparatory Academy,493,15.4,90.7%,17
796,Dr Jacqueline Peek-Davis School,281,15.6,94.7%,17
797,Clara Barton High School,"1,208",16.5,78.9%,17
798,Middle School 61 Dr Gladstone H Atwell,723,16.4,72.5%,17
799,Ps 91 Albany Avenue School (The),262,11.9,95%,17
800,Ps 138,560,11.9,92.9%,17
801,Ps 161 Crown (The),364,12.9,93.1%,17
802,Ps 181,682,14.5,74.3%,17
803,Ps 189 Bilingual Center (The),"1,033",13.9,92.6%,17
804,Ps 191 Paul Robeson,173,12.3,96.5%,17
805,Ps 221 Toussaint L'Ouverture,307,12.2,90.6%,17
806,Ps 241 Emma L Johnston,524,14.9,87.8%,17
807,Middle School 246 Walt Whitman,409,12.0,85.6%,17
808,Ps 249 Caton (The),873,14.7,77.7%,17
809,Ps 289 George V Brower,394,12.3,80.5%,17
810,Ps 316 Elijah Stroud,537,11.9,65.9%,17
811,Ps 397 Foster-Laurie,195,11.4,87.7%,17
812,Ps 398 Walter Weaver,294,9.5,96.9%,17
813,Ps 399 Stanley Eugene Clarke,399,17.2,95%,17
814,Is 340,225,13.2,80%,17
815,Ps 375 Jackie Robinson School,390,12.5,92.6%,17
816,Middle School 394,469,13.0,88.3%,17
817,Ps 92 Adrian Hegeman,423,11.4,91.3%,17
818,High Sschool For Public Service-Heroes Of Tomorrow,456,15.6,80.3%,17
819,Brooklyn School For Music & Theater,302,16.7,84.1%,17
820,Science Technology & Research High School At Erasmus,543,18.7,78.5%,17
821,Brooklyn Academy Of Science And The Environment,368,16.7,82.3%,17
822,School For Human Rights (The),439,14.1,84.3%,17
823,International High School At Prospect Heights,398,13.7,81.2%,17
824,High School For Global Citizenship (The),197,13.1,93.4%,17
825,High School For Youth And Community Development At Erasmus,477,22.6,83.6%,17
826,High School For Service And Learning At Erasmus,364,16.1,84.3%,17
827,Brownsville Academy High School,101,12.6,87.1%,17
828,Ebbets Field Middle School,165,9.7,97.6%,17
829,Elijah Stroud Middle School,143,10.9,95.1%,17
830,School Of Integrated Learning (The),261,10.8,93.5%,17
831,Ronald Edmonds Learning Center II,155,12.9,90.3%,17
832,Academy Of Hospitality And Tourism,209,16.0,87.6%,17
833,Academy For College Prep And Career Exp,421,20.0,80.3%,17
834,Ps 770 New American Academy,290,13.7,55.9%,17
835,Academy For Health Careers,356,13.2,84%,17
836,Pathways In Technology Early College High School (P-Tech),585,19.4,73.5%,17
837,Brooklyn Institute For Liberal Arts,375,14.4,89.9%,17
838,New Heights Middle School,237,10.3,88.6%,17
839,Brooklyn Arts And Science Elementary School,401,17.4,62.3%,17
840,New Bridges Elementary,472,10.9,86.2%,17
841,Is 68 Isaac Bildersee,347,12.3,81.8%,18
842,Ps 114 Ryder Elementary,518,14.3,77%,18
843,Ps 115 Daniel Mucatel School,967,16.1,62.2%,18
844,Ps 135 Sheldon A Brookner,575,19.8,87.7%,18
845,Ps 208 Elsa Ebeling,383,10.3,83.3%,18
846,Is 211 John Wilson,521,15.3,83.9%,18
847,Ps 219 Kennedy-King,533,13.6,78.8%,18
848,Ps 233 Langston Hughes,455,13.3,86.2%,18
849,Ps 235 Janice Marie Knight School,"1,253",17.8,71.8%,18
850,Ps 244 Richard R Green,491,10.0,81.9%,18
851,Ps 268 Emma Lazarus,388,14.9,86.1%,18
852,Ps 272 Curtis Estabrook,471,11.7,92.6%,18
853,Ps 276 Louis Marshall,615,12.8,78.2%,18
854,Ps 279 Herman Schreiber,408,12.5,80.1%,18
855,Is 285 Meyer Levin,663,15.4,78.1%,18
856,Ps 66,806,16.4,71.3%,18
857,Brooklyn Generation School,193,8.7,82.4%,18
858,Kurt Hahn Expeditionary Learning School,351,12.0,82.9%,18
859,Middle School For Art And Philosphy,180,12.8,93.3%,18
860,East Flatbush Community Research School,129,12.9,93%,18
861,Brooklyn Bridge Academy,163,11.6,87.7%,18
862,It Takes A Village Academy,711,12.6,73.4%,18
863,Brooklyn Theatre Arts High School,366,18.2,82.2%,18
864,Victory Collegiate High School,407,14.5,78.9%,18
865,Olympus Academy,194,11.4,78.9%,18
866,High School For Medical Professions,425,16.9,94.4%,18
867,Cultural Academy For The Arts And Sciences,321,12.8,75.7%,18
868,Urban Action Academy,274,13.7,76.3%,18
869,Academy For Conservation And The Environment,282,12.8,83.3%,18
870,High School For Innovation In Advertising And Media,253,13.3,71.5%,18
871,East Brooklyn Community High School,186,9.3,75.3%,18
872,Science And Medicine Middle School (The),394,13.1,82.5%,18
873,Brooklyn Science And Engineering Academy,255,13.4,77.6%,18
874,East New York Family Academy,501,12.0,87.6%,19
875,Transit Technical Career And Technical Education High School,705,12.3,76.9%,19
876,Is 364 Gateway,349,13.9,81.7%,19
877,Ps 13 Roberto Clemente,493,12.6,93.9%,19
878,Ps 65,611,17.9,82%,19
879,Ps 108 Sal Abbracciamento,960,13.9,81.3%,19
880,Ps 149 Danny Kaye,675,16.0,95.7%,19
881,Ps 158 Warwick,594,13.8,88.9%,19
882,Ps 159 Isaac Pitkin,800,15.3,84.8%,19
883,Is 171 Abraham Lincoln,446,12.9,98.2%,19
884,Ps 190 Sheffield,187,17.0,96.8%,19
885,Ps 202 Ernest S Jenkyns,439,11.8,94.8%,19
886,Ps 213 New Lots,295,21.0,93.6%,19
887,Ps 214 Michael Friedsam,914,14.2,81%,19
888,Junior High School 218 James P Sinnott,406,12.3,93.1%,19
889,Ps 224 Hale A Woodruff,415,15.9,93.7%,19
890,Ps 273 Wortman,366,14.6,85.5%,19
891,Junior High School 292 Margaret S Douglas,563,15.2,93.8%,19
892,Ps 306 Ethan Allen,327,11.6,95.4%,19
893,Ps 328 Phyllis Wheatley,284,11.3,97.5%,19
894,Ps 345 Patrolman Robert Bolden,536,12.1,84.9%,19
895,Ps 346 Abe Stark,582,12.5,84.9%,19
896,W H Maxwell Career And Technical Education High School,408,10.2,88.7%,19
897,Ps 89 Cypress Hills,458,11.7,92.4%,19
898,Ps 290 Juan Morel Campos,522,11.6,95%,19
899,Ps 7 Abraham Lincoln,877,13.4,91.8%,19
900,Captain Vernon A Richards High School-Fire,332,16.4,83.7%,19
901,High School For Civil Rights,241,13.3,83.8%,19
902,Performing Arts And Technology High School,449,15.4,91.3%,19
903,World Academy For Total Community Health High School,262,13.7,93.1%,19
904,Academy For Young Writers,545,11.5,83.9%,19
905,Frederick Douglass Academy VIII Middle School,338,14.6,88.2%,19
906,Multicultural High School,226,10.2,92.5%,19
907,Cypress Hills Collegiate Preparatory School,246,17.9,85.4%,19
908,Brooklyn Lab School,391,15.0,87%,19
909,Academy Of Innovative Technology,401,11.8,86.3%,19
910,East New York Middle School Of Excellence,251,12.5,90.4%,19
911,School For Classics High School,284,12.9,88%,19
912,East New York Elementary School Of Excellence,528,12.5,89.2%,19
913,Fresh Creek School (The),214,12.5,94.4%,19
914,Spring Creek Community School,482,11.7,82.2%,19
915,Brooklyn Gardens Elementary School,305,10.8,96.1%,19
916,Van Siclen Community Middle School,302,15.8,95%,19
917,Vista Academy,438,17.5,97.7%,19
918,Liberty Avenue Middle School,462,12.4,96.8%,19
919,School Of The Future Brooklyn,199,11.0,92.5%,19
920,Highland Park Community School,329,14.1,92.7%,19
921,Urban Assembly School For Collaborative Healthcare (The),315,12.5,80.3%,19
922,Is 187 Christa McAuliffe School (The),874,16.8,66.1%,20
923,High School Of Telecommunication Arts And Technology,"1,273",15.5,75.8%,20
924,Franklin Delano Roosevelt High School,"3,039",16.4,81.7%,20
925,Fort Hamilton High School,"4,580",20.3,72.1%,20
926,New Utrecht High School,"3,560",17.7,79.6%,20
927,Ps 48 Mapleton,593,13.1,73.2%,20
928,Junior High School 62 Ditmas,"1,200",15.3,88.1%,20
929,Ps 102 Bayview (The),"1,426",15.6,65.4%,20
930,Ps/Is 104 Fort Hamilton School (The),"1,264",18.0,64.2%,20
931,Ps 105 Blythebourne (The),"1,514",17.1,88.2%,20
932,Ps 112 Lefferts Park,684,12.2,70.3%,20
933,Ps 127 McKinley Park,538,15.3,81.4%,20
934,Ps 160 William T Sampson,"1,278",13.3,86.1%,20
935,Ps 163 Bath Beach,626,14.2,80.4%,20
936,Ps 164 Caesar Rodney,698,13.9,83.1%,20
937,Ralph A Fabrizio School,"1,037",13.4,91.4%,20
938,Ps 176 Ovington,"1,334",13.8,87%,20
939,Ps 179 Kensington,885,13.4,86.1%,20
940,Seeall Academy (The),"1,129",13.0,88%,20
941,Ps 185 Walter Kassenbrock,650,15.4,39.7%,20
942,Ps 186 Dr Irving A Gladstone,"1,030",14.5,72.8%,20
943,Ps 192 Magnet School For Math And Science Inquiry (The),675,11.6,85.3%,20
944,Ps 200 Benson School,"1,315",16.6,82.4%,20
945,Junior High School 201 Dyker Heights (The),"1,584",18.2,75.4%,20
946,Ps 204 Vince Lombardi,"1,178",14.5,77.1%,20
947,Ps 205 Clarion,"1,280",14.2,66.8%,20
948,Junior High School 220 John J Pershing,"1,539",13.7,86.3%,20
949,Junior High School 223 Montauk (The),942,13.6,97.3%,20
950,Junior High School 227 Edward B Shallow,"1,499",16.6,92%,20
951,Ps 229 Dyker,"1,249",17.1,60%,20
952,Ps 247,873,15.9,66.4%,20
953,Junior High School 259 William McKinley,"1,858",18.7,80.4%,20
954,Ps/Is 30 Mary White Ovington,924,14.4,80.1%,20
955,Ps 69 Vincent D Grippo School,783,15.0,97.1%,20
956,Ps 506 School Of Journalism And Technology (The),804,11.9,96.3%,20
957,Ps 503 School Of Discovery (The),"1,081",11.4,96.2%,20
958,Urban Assembly School For Criminal Justice,548,12.4,94%,20
959,Academy Of Talented Scholars (The),378,7.7,38.1%,20
960,Brooklyn School Of Inquiry,566,22.6,22.4%,20
961,School Of Math Science And Healthy Living,357,12.3,92.2%,20
962,Ps 748 Brooklyn School For Global Scholars,546,15.1,73.3%,20
963,Ps 264 Bay Ridge Elementary School For The Arts,481,11.7,68.6%,20
964,School For Future Leaders (The),408,13.5,94.9%,20
965,Abraham Lincoln High School,"1,946",16.6,78.6%,21
966,Edward R Murrow High School,"3,781",18.9,70.6%,21
967,Ps 90 Edna Cohen School,666,13.5,83.5%,21
